| P05787
1 0.0111
2 0.0062
3 0.0057
4 0.0072
5 0.0031
6 0.0051
7 0.0118
8 0.0139
9 0.0056
10 0.0083
11 0.0073
12 0.0157
13 0.0777
14 0.0991
15 0.147
16 0.0887
17 0.305
18 0.1344
19 0.013
20 0.0164
21 0.0043
22 0.0065
23 0.0068
| Q04695
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0333
15 0.5077
16 0.0
17 0.459
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| A6NDG6
1 0.0
2 0.0135
3 0.0
4 0.0
5 0.012
6 0.0
7 0.0
8 0.0
9 0.0
10 0.7228
11 0.1555
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0147
18 0.0
19 0.0815
20 0.0
21 0.0
22 0.0
23 0.0
| Q13765
1 0.0056
2 0.0037
3 0.0061
4 0.005
5 0.0054
6 0.024
7 0.0115
8 0.0054
9 0.0062
10 0.0196
11 0.4564
12 0.3777
13 0.0057
14 0.0063
15 0.0147
16 0.0062
17 0.0063
18 0.0
19 0.0076
20 0.0064
21 0.0088
22 0.0059
23 0.0056
| O00151
1 0.0342
2 0.0177
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.015
11 0.0
12 0.7357
13 0.0
14 0.0385
15 0.0
16 0.0
17 0.0291
18 0.0426
19 0.0
20 0.0245
21 0.0262
22 0.0269
23 0.0096
| O00154
1 0.0049
2 0.0
3 0.0049
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0106
10 0.0107
11 0.0106
12 0.0134
13 0.1648
14 0.6876
15 0.0355
16 0.0149
17 0.0073
18 0.0155
19 0.0
20 0.0
21 0.0056
22 0.0074
23 0.0063
| O00165
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 1.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O00170
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0244
11 0.1827
12 0.5379
13 0.0226
14 0.0
15 0.0
16 0.0273
17 0.0513
18 0.0
19 0.0255
20 0.0612
21 0.0525
22 0.0145
23 0.0
| O00231
1 0.009
2 0.0148
3 0.0064
4 0.0126
5 0.0062
6 0.01
7 0.0068
8 0.0074
9 0.0078
10 0.0117
11 0.0063
12 0.0065
13 0.0094
14 0.0139
15 0.0505
16 0.5803
17 0.0686
18 0.0133
19 0.0188
20 0.0353
21 0.0669
22 0.0278
23 0.0096
| O00232
1 0.0146
2 0.0059
3 0.0168
4 0.0107
5 0.0053
6 0.0063
7 0.0087
8 0.0117
9 0.0099
10 0.0147
11 0.0074
12 0.0045
13 0.0114
14 0.0134
15 0.0029
16 0.0263
17 0.2663
18 0.5008
19 0.0168
20 0.0139
21 0.0102
22 0.0127
23 0.0088
| O00233
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.3787
9 0.6213
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O00264
1 0.0301
2 0.0388
3 0.0378
4 0.0231
5 0.0
6 0.0
7 0.5009
8 0.0744
9 0.0
10 0.0
11 0.0
12 0.0
13 0.027
14 0.0183
15 0.0
16 0.0311
17 0.0393
18 0.0
19 0.0434
20 0.0491
21 0.0384
22 0.0483
23 0.0
| O00273
1 0.03
2 0.0287
3 0.048
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.037
14 0.7641
15 0.0
16 0.0323
17 0.0
18 0.0
19 0.0122
20 0.0
21 0.0067
22 0.0189
23 0.0222
| O00299
1 0.009
2 0.0097
3 0.0073
4 0.0158
5 0.0104
6 0.0095
7 0.0131
8 0.0375
9 0.7092
10 0.0254
11 0.0143
12 0.0088
13 0.0124
14 0.0115
15 0.0103
16 0.0093
17 0.0164
18 0.0143
19 0.0078
20 0.0098
21 0.0112
22 0.0138
23 0.0129
| O00303
1 0.0077
2 0.0054
3 0.0087
4 0.0049
5 0.0
6 0.0
7 0.0031
8 0.0085
9 0.0067
10 0.0227
11 0.01
12 0.0229
13 0.0103
14 0.013
15 0.0873
16 0.7133
17 0.0096
18 0.0102
19 0.0107
20 0.0131
21 0.0124
22 0.0102
23 0.0094
| O00330
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.9402
19 0.0598
20 0.0
21 0.0
22 0.0
23 0.0
| O00442
1 0.0
2 0.0
3 0.0
4 0.0225
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.9561
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0141
20 0.0
21 0.0
22 0.0
23 0.0073
| O00487
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.9666
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0116
22 0.0076
23 0.0142
| O00560
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 1.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O00629
1 0.0
2 0.0
3 0.077
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.029
16 0.0
17 0.0274
18 0.0894
19 0.1221
20 0.655
21 0.0
22 0.0
23 0.0
| O00743
1 0.0
2 0.0391
3 0.0276
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.2456
11 0.3424
12 0.0399
13 0.0236
14 0.0221
15 0.0
16 0.0205
17 0.0311
18 0.0455
19 0.0288
20 0.0377
21 0.0252
22 0.0324
23 0.0385
| O00764
1 0.0091
2 0.0075
3 0.0
4 0.0133
5 0.0049
6 0.0052
7 0.0
8 0.0084
9 0.0287
10 0.0083
11 0.1306
12 0.644
13 0.0
14 0.0056
15 0.0097
16 0.0
17 0.0065
18 0.0073
19 0.0061
20 0.0077
21 0.0
22 0.0326
23 0.0646
| O14530
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.428
10 0.0
11 0.0
12 0.0
13 0.0
14 0.572
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O14579
1 0.0
2 0.0
3 0.0158
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.9484
11 0.0
12 0.0
13 0.0357
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| P47813
1 0.0
2 0.0
3 0.0
4 0.165
5 0.8144
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0206
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O14602
1 0.0
2 0.0
3 0.0
4 0.165
5 0.8144
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0206
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O14656
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 1.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O14745
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.947
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.053
| O14818
1 0.0143
2 0.0215
3 0.0549
4 0.0264
5 0.0105
6 0.0105
7 0.0231
8 0.551
9 0.0092
10 0.0203
11 0.0218
12 0.0173
13 0.0267
14 0.0201
15 0.0158
16 0.0159
17 0.028
18 0.0231
19 0.0205
20 0.0166
21 0.0189
22 0.0212
23 0.0123
| Q8TAA3
1 0.0143
2 0.0215
3 0.0549
4 0.0264
5 0.0105
6 0.0105
7 0.0231
8 0.551
9 0.0092
10 0.0203
11 0.0218
12 0.0173
13 0.0267
14 0.0201
15 0.0158
16 0.0159
17 0.028
18 0.0231
19 0.0205
20 0.0166
21 0.0189
22 0.0212
23 0.0123
| O14880
1 0.0
2 0.0
3 1.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O14908
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.9218
14 0.0782
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O14929
1 0.0
2 0.0
3 0.0407
4 0.0
5 0.0184
6 0.0
7 0.0
8 0.0302
9 0.0227
10 0.0296
11 0.0
12 0.0066
13 0.0239
14 0.0262
15 0.0
16 0.7341
17 0.0262
18 0.0
19 0.012
20 0.0
21 0.0
22 0.0295
23 0.0
| P19105
1 0.0
2 0.0
3 0.0
4 0.0
5 0.763
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.237
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O14950
1 0.0
2 0.0
3 0.0
4 0.0
5 0.763
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.237
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| P24844
1 0.0
2 0.0
3 0.0
4 0.0
5 0.763
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.237
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O15143
1 0.0
2 0.0
3 0.0145
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
