| P35900
1 0.0199
2 0.0249
3 0.0179
4 0.0
5 0.0266
6 0.0148
7 0.0022
8 0.0128
9 0.0139
10 0.0
11 0.0
12 0.0137
13 0.007
14 0.034
15 0.0546
16 0.4919
17 0.0
18 0.0
19 0.0
20 0.1672
21 0.0523
22 0.0246
23 0.0217
| P02649
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 1.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| A4D1E9
1 0.0
2 0.0948
3 0.1079
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.6929
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.1044
| A6NDG6
1 0.0156
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0174
9 0.8108
10 0.0204
11 0.0173
12 0.0165
13 0.0
14 0.0711
15 0.0162
16 0.0147
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O00148
1 0.0311
2 0.0
3 0.0647
4 0.0
5 0.0141
6 0.0
7 0.0511
8 0.0
9 0.0125
10 0.0327
11 0.0042
12 0.0234
13 0.0072
14 0.0119
15 0.0457
16 0.0
17 0.0
18 0.0
19 0.0
20 0.2819
21 0.1353
22 0.1726
23 0.1116
| O00151
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.5462
11 0.1682
12 0.1241
13 0.1196
14 0.0204
15 0.0176
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0039
22 0.0
23 0.0
| O00154
1 0.0061
2 0.0414
3 0.0303
4 0.0126
5 0.0085
6 0.0034
7 0.0519
8 0.0375
9 0.0007
10 0.0092
11 0.0492
12 0.2049
13 0.0295
14 0.0455
15 0.2962
16 0.0936
17 0.0
18 0.0
19 0.0
20 0.0347
21 0.0133
22 0.0166
23 0.0146
| O00165
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 1.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O00217
1 0.0
2 0.3626
3 0.6374
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O00231
1 0.0039
2 0.0106
3 0.0078
4 0.008
5 0.0081
6 0.0421
7 0.0091
8 0.0313
9 0.0091
10 0.0168
11 0.0067
12 0.01
13 0.0088
14 0.0428
15 0.5894
16 0.162
17 0.0
18 0.0006
19 0.0
20 0.0111
21 0.0081
22 0.0071
23 0.0067
| O00232
1 0.0028
2 0.0003
3 0.0226
4 0.0118
5 0.0012
6 0.0258
7 0.0174
8 0.0011
9 0.033
10 0.0006
11 0.0009
12 0.0176
13 0.0215
14 0.0413
15 0.0058
16 0.06
17 0.0
18 0.0
19 0.0
20 0.4502
21 0.1013
22 0.108
23 0.0768
| O00233
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.3469
7 0.4821
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0058
17 0.0
18 0.0
19 0.0
20 0.0073
21 0.0398
22 0.0597
23 0.0585
| O00264
1 0.0046
2 0.003
3 0.013
4 0.4463
5 0.1038
6 0.1457
7 0.1007
8 0.016
9 0.0161
10 0.0127
11 0.0139
12 0.0043
13 0.0098
14 0.0168
15 0.0313
16 0.0026
17 0.0
18 0.0
19 0.0
20 0.0265
21 0.0034
22 0.0175
23 0.0121
| O00273
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0502
9 0.0
10 0.0
11 0.0
12 0.0154
13 0.2027
14 0.2723
15 0.3155
16 0.1439
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0
| O00299
1 0.0038
2 0.0062
3 0.0071
4 0.0059
5 0.01
6 0.0309
7 0.5551
8 0.1318
9 0.1033
10 0.0436
11 0.0215
12 0.0174
13 0.0095
14 0.0103
15 0.0072
16 0.0086
17 0.0
18 0.0
19 0.0
20 0.0076
21 0.0086
22 0.0073
23 0.0042
| O00303
1 0.0076
2 0.0131
3 0.0076
4 0.0132
5 0.0106
6 0.0171
7 0.0084
8 0.0002
9 0.0078
10 0.0095
11 0.0058
12 0.0101
13 0.0098
14 0.0076
15 0.6362
16 0.2023
17 0.0
18 0.0
19 0.0
20 0.0116
21 0.0075
22 0.009
23 0.005
| O00487
1 0.0045
2 0.0008
3 0.0023
4 0.0044
5 0.0055
6 0.003
7 0.0096
8 0.0115
9 0.4265
10 0.2473
11 0.0239
12 0.2203
13 0.0121
14 0.0174
15 0.0024
16 0.0038
17 0.0
18 0.0
19 0.0
20 0.0006
21 0.0012
22 0.0014
23 0.0014
| O00505
1 0.0
2 0.0
3 0.0012
4 0.0
5 0.0019
6 0.0
7 0.0042
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.1742
21 0.6013
22 0.1026
23 0.1146
| O00560
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0029
6 0.0124
7 0.2087
8 0.5818
9 0.0053
10 0.078
11 0.0945
12 0.0042
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 0.0
22 0.0
23 0.0122
| O00625
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.9267
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0534
17 0.0
18 0.0
19 0.0
20 0.0199
21 0.0
22 0.0
23 0.0
| O00629
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0
7 0.0
8 0.0
9 0.0
10 0.0
11 0.0
12 0.0
13 0.0
14 0.0
15 0.0
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0
21 1.0
22 0.0
23 0.0
| O00764
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0007
6 0.0006
7 0.0005
8 0.0
9 0.1119
10 0.6545
11 0.0177
12 0.182
13 0.0
14 0.0165
15 0.0086
16 0.0
17 0.0
18 0.0
19 0.0
20 0.0004
21 0.006
22 0.0002
23 0.0003
| O14530
1 0.0
2 0.0
3 0.0
4 0.0
5 0.0
6 0.0571
7 0.8827
8 0.0
